Date,Plot,Treatment,Row,Plants,Week,WAT,Location,TBW
2012-5-31,203,6,2,26,1,3,K,1
2012-5-31,204,1,2,23,1,3,K,0
2012-5-31,205,3,2,26,1,3,K,0
2012-5-31,206,8,2,26,1,3,K,0
2012-5-31,207,7,2,24,1,3,K,1
2012-5-31,208,5,2,24,1,3,K,0
2012-5-31,301,5,2,22,1,3,K,0
2012-5-31,302,8,2,24,1,3,K,1
2012-5-31,303,2,2,25,1,3,K,2
2012-5-31,304,3,2,23,1,3,K,1
2012-5-31,305,6,2,23,1,3,K,1
2012-5-31,306,4,2,21,1,3,K,0
2012-5-31,307,1,2,24,1,3,K,1
2012-5-31,308,7,2,21,1,3,K,1
2012-5-31,401,5,2,24,1,3,K,0
2012-5-31,402,2,2,22,1,3,K,0
2012-5-31,403,1,2,21,1,3,K,1
2012-5-31,404,3,2,21,1,3,K,0
2012-5-31,405,7,2,23,1,3,K,2
2012-5-31,406,6,2,24,1,3,K,0
2012-5-31,407,4,2,22,1,3,K,1
2012-5-31,408,8,2,23,1,3,K,0
2012-6-7,101,8,2,22,2,4,K,0
2012-6-7,102,5,2,22,2,4,K,1
2012-6-7,103,2,2,24,2,4,K,7
2012-6-7,104,3,2,23,2,4,K,1
2012-6-7,105,6,2,24,2,4,K,1
2012-6-7,106,4,2,24,2,4,K,1
2012-6-7,107,7,2,21,2,4,K,3
2012-6-7,108,1,2,22,2,4,K,1
2012-6-7,201,2,2,22,2,4,K,3
2012-6-7,202,4,2,22,2,4,K,1
2012-6-7,203,6,2,26,2,4,K,1
2012-6-7,204,1,2,24,2,4,K,1
2012-6-7,205,3,2,26,2,4,K,3
2012-6-7,206,8,2,26,2,4,K,0
2012-6-7,207,7,2,24,2,4,K,0
2012-6-7,208,5,2,25,2,4,K,0
2012-6-7,301,5,2,23,2,4,K,1
2012-6-7,302,8,2,25,2,4,K,0
2012-6-7,303,2,2,25,2,4,K,2
2012-6-7,304,3,2,23,2,4,K,0
2012-6-7,305,6,2,24,2,4,K,1
2012-6-7,306,4,2,21,2,4,K,0
2012-6-7,307,1,2,24,2,4,K,4
2012-6-7,308,7,2,22,2,4,K,2
2012-6-7,401,5,2,25,2,4,K,0
2012-6-7,402,2,2,24,2,4,K,2
2012-6-7,403,1,2,21,2,4,K,3
2012-6-7,404,3,2,22,2,4,K,3
2012-6-7,405,7,2,23,2,4,K,3
2012-6-7,406,6,2,25,2,4,K,1
2012-6-7,407,4,2,22,2,4,K,1
2012-6-7,408,8,2,23,2,4,K,0
2012-6-11,101,8,2,22,3,5,K,4
2012-6-11,102,5,2,22,3,5,K,1
2012-6-11,103,2,2,24,3,5,K,7
2012-6-11,104,3,2,23,3,5,K,6
2012-6-11,105,6,2,24,3,5,K,2
2012-6-11,106,4,2,24,3,5,K,3
2012-6-11,107,7,2,21,3,5,K,3
2012-6-11,108,1,2,22,3,5,K,0
2012-6-11,201,2,2,22,3,5,K,7
2012-6-11,202,4,2,22,3,5,K,2
2012-6-11,203,6,2,26,3,5,K,1
2012-6-11,204,1,2,24,3,5,K,4
2012-6-11,205,3,2,26,3,5,K,2
2012-6-11,206,8,2,26,3,5,K,2
2012-6-11,207,7,2,24,3,5,K,4
2012-6-11,208,5,2,25,3,5,K,2
2012-6-11,301,5,2,23,3,5,K,1
2012-6-11,302,8,2,25,3,5,K,1
2012-6-11,303,2,2,25,3,5,K,4
2012-6-11,304,3,2,23,3,5,K,4
2012-6-11,305,6,2,24,3,5,K,2
2012-6-11,306,4,2,21,3,5,K,0
2012-6-11,307,1,2,24,3,5,K,8
2012-6-11,308,7,2,22,3,5,K,10
2012-6-11,401,5,2,25,3,5,K,1
2012-6-11,402,2,2,24,3,5,K,1
2012-6-11,403,1,2,21,3,5,K,2
2012-6-11,404,3,2,22,3,5,K,4
2012-6-11,405,7,2,23,3,5,K,3
2012-6-11,406,6,2,25,3,5,K,1
2012-6-11,407,4,2,22,3,5,K,2
2012-6-11,408,8,2,23,3,5,K,1
2012-6-20,101,8,2,22,4,6,K,10
2012-6-20,102,5,2,22,4,6,K,9
2012-6-20,103,2,2,24,4,6,K,9
2012-6-20,104,3,2,23,4,6,K,14
2012-6-20,105,6,2,24,4,6,K,11
2012-6-20,106,4,2,24,4,6,K,0
2012-6-20,107,7,2,21,4,6,K,5
2012-6-20,108,1,2,22,4,6,K,19
2012-6-20,201,2,2,22,4,6,K,9
2012-6-20,202,4,2,22,4,6,K,3
2012-6-20,203,6,2,26,4,6,K,11
2012-6-20,204,1,2,24,4,6,K,6
2012-6-20,205,3,2,26,4,6,K,7
2012-6-20,206,8,2,26,4,6,K,8
2012-6-20,207,7,2,24,4,6,K,12
2012-6-20,208,5,2,25,4,6,K,8
2012-6-20,301,5,2,23,4,6,K,6
2012-6-20,302,8,2,25,4,6,K,4
2012-6-20,303,2,2,25,4,6,K,9
2012-6-20,304,3,2,23,4,6,K,9
2012-6-20,305,6,2,24,4,6,K,10
2012-6-20,306,4,2,21,4,6,K,2
2012-6-20,307,1,2,24,4,6,K,10
2012-6-20,308,7,2,22,4,6,K,15
2012-6-20,401,5,2,25,4,6,K,8
2012-6-20,402,2,2,24,4,6,K,4
2012-6-20,403,1,2,21,4,6,K,4
2012-6-20,404,3,2,22,4,6,K,12
2012-6-20,405,7,2,23,4,6,K,11
2012-6-20,406,6,2,25,4,6,K,11
2012-6-20,407,4,2,22,4,6,K,7
2012-6-20,408,8,2,23,4,6,K,14
2012-5-31,101,8,3,23,1,3,K,0
2012-5-31,102,5,3,23,1,3,K,1
2012-5-31,103,2,3,23,1,3,K,1
2012-5-31,104,3,3,22,1,3,K,0
2012-5-31,105,6,3,24,1,3,K,0
2012-5-31,106,4,3,24,1,3,K,0
2012-5-31,107,7,3,23,1,3,K,0
2012-5-31,108,1,3,22,1,3,K,2
2012-5-31,201,2,3,24,1,3,K,1
2012-5-31,202,4,3,21,1,3,K,0
2012-5-31,203,6,3,21,1,3,K,0
2012-5-31,204,1,3,25,1,3,K,1
2012-5-31,205,3,3,21,1,3,K,0
2012-5-31,206,8,3,26,1,3,K,0
2012-5-31,207,7,3,23,1,3,K,1
2012-5-31,208,5,3,25,1,3,K,1
2012-5-31,301,5,3,24,1,3,K,0
2012-5-31,302,8,3,25,1,3,K,0
2012-5-31,303,2,3,23,1,3,K,1
2012-5-31,304,3,3,25,1,3,K,3
2012-5-31,305,6,3,23,1,3,K,0
2012-5-31,306,4,3,24,1,3,K,0
2012-5-31,307,1,3,23,1,3,K,0
2012-5-31,308,7,3,24,1,3,K,1
2012-5-31,401,5,3,24,1,3,K,0
2012-5-31,402,2,3,24,1,3,K,1
2012-5-31,403,1,3,24,1,3,K,0
2012-5-31,404,3,3,23,1,3,K,0
2012-5-31,405,7,3,23,1,3,K,3
2012-5-31,406,6,3,24,1,3,K,0
2012-5-31,407,4,3,24,1,3,K,0
2012-5-31,408,8,3,21,1,3,K,0
2012-6-7,101,8,3,22,2,4,K,1
2012-6-7,102,5,3,23,2,4,K,1
2012-6-7,103,2,3,22,2,4,K,3
2012-6-7,104,3,3,22,2,4,K,2
2012-6-7,105,6,3,24,2,4,K,0
2012-6-7,106,4,3,24,2,4,K,1
2012-6-7,107,7,3,23,2,4,K,6
2012-6-7,108,1,3,22,2,4,K,4
2012-6-7,201,2,3,25,2,4,K,5
2012-6-7,202,4,3,22,2,4,K,1
2012-6-7,203,6,3,22,2,4,K,0
2012-6-7,204,1,3,22,2,4,K,1
2012-6-7,205,3,3,23,2,4,K,4
2012-6-7,206,8,3,26,2,4,K,2
2012-6-7,207,7,3,23,2,4,K,6
2012-6-7,208,5,3,25,2,4,K,2
2012-6-7,301,5,3,25,2,4,K,1
2012-6-7,302,8,3,25,2,4,K,0
2012-6-7,303,2,3,23,2,4,K,2
2012-6-7,304,3,3,25,2,4,K,3
2012-6-7,305,6,3,23,2,4,K,1
2012-6-7,306,4,3,24,2,4,K,0
